accuracy,roc_auc,f1_score
0.9355420041867661,0.9795731639377843,0.9558610889509375
0.9349685992536634,0.9793426870882418,0.9554775954785925
0.9362792391007554,0.9793459465540426,0.9565541165300385
0.9350414125785018,0.9799015631033916,0.9556302959845325
0.9344589059797943,0.9795031732087878,0.9551738949098312
0.9337762810594339,0.9789375617839499,0.9544070281854298
0.9347228542823337,0.979419453587993,0.955439577508543
0.9336033494129425,0.9790736588772322,0.9543243192476505
0.9354782925275326,0.979856231406455,0.9554814521750599
0.9337398743970147,0.9794452683550456,0.9544493248739222
0.9352598525530172,0.979698461572081,0.955647700701481
0.9352416492218076,0.979299300066554,0.9557296365661379
0.9351870392281788,0.9794049787904695,0.9557330681005812
0.9351506325657596,0.9792754306037581,0.9557763805527798
0.9358241558205151,0.9796695099694988,0.9561840134722819
