logreg_accuracy,logreg_roc_auc,logreg_f1_score,nb_accuracy,nb_roc_auc,nb_f1_score,slp_accuracy,slp_roc_auc,slp_f1_score
0.7643305724947665,0.7498857074874148,0.4640572930681183,0.7428415400018203,0.733436869163058,0.3423490526511801,0.7668790388641121,0.7535529828084407,0.5098834650490824
0.7648766724310548,0.7497474499836412,0.468489599407444,0.7447255847820151,0.7352423756250109,0.3372793648543276,0.7652771457176664,0.748533958295374,0.4678401188584635
0.7670610721762082,0.750688579299619,0.4693441705198117,0.7441248748520979,0.7366589227134943,0.3469534716253571,0.7633566942750524,0.7529588583899568,0.442490779655202
0.7642395558387185,0.7476204332607552,0.4644046068275334,0.7447892964412487,0.7366451102352769,0.3453798384460942,0.7585237098389005,0.7405089790711583,0.4240279617046219
0.7669063438609266,0.7485237680967562,0.4655229985808498,0.743933739874397,0.7382455831749396,0.347420671738727,0.7672795121507235,0.7455885352950404,0.503716930960191
0.7671975971602804,0.7502955495153151,0.4684096766148474,0.7440247565304451,0.7364207428518326,0.3393779949262426,0.7618276144534449,0.7464312253177983,0.4410696740569866
0.7663147355966142,0.7495394838862051,0.4648700473123658,0.7429689633202876,0.7350941333438203,0.3449011784355572,0.7624101210521526,0.7504648735024372,0.4278199114462321
0.7668699371985074,0.7504795807770712,0.4674179731359421,0.7437790115591153,0.7350724534972368,0.3406796730449446,0.7659779739692364,0.7441824865004548,0.4539817370991718
0.7665240739055247,0.7499200141518918,0.4659393737508328,0.7431600982979886,0.7373494132383225,0.3372243229912863,0.7702830618003095,0.7535204732148254,0.4834953443159726
0.7677072904341494,0.7522099480662283,0.4729690662041052,0.7437608082279057,0.7386501057981578,0.3416812814217234,0.7649221807590789,0.747580396343493,0.5076254384627116
0.7654773823609721,0.7502951165234598,0.4659578436858795,0.7434240466005279,0.7349066100445649,0.3370490569587507,0.7552653135523801,0.7507881381358369,0.4154438139959564
0.7678438154182216,0.7500560387961492,0.470358603791607,0.7443342131610085,0.7346008168378649,0.3460141553361892,0.7625466460362247,0.7520423608214989,0.44914592174996304
0.7639300992081551,0.7483662332464434,0.4620107444359171,0.7436333849094384,0.7365417041640452,0.342153817408973,0.7553108218804041,0.7487517077643557,0.37774280159244517
0.7652225357240375,0.7515998217352073,0.4707958065773547,0.7433512332756894,0.7359615861451685,0.3460878437920319,0.7559115318103213,0.7448909350883115,0.3927083333333333
0.7669609538545554,0.7509205627577988,0.470576072122741,0.7433057249476654,0.734696458586148,0.3281960887067959,0.7548921452625831,0.7469331957603864,0.40038297114356963
